epizod,wynik,kroki,epsilon,rozmiar_pamięci,średnia_strata
1,0,20,0.995000,20,0.000000
2,0,9,0.990025,29,0.000000
3,0,11,0.985075,40,0.000000
4,0,10,0.980150,50,0.000000
5,2,52,0.975249,102,45.460562
6,0,27,0.970373,129,42.778875
7,0,13,0.965521,142,38.790797
8,1,15,0.960693,157,51.242357
9,0,35,0.955890,192,43.940358
10,0,11,0.951110,203,29.398814
11,0,17,0.946355,220,41.281901
12,0,19,0.941623,239,54.786674
13,0,8,0.936915,247,40.671795
14,0,60,0.932230,307,38.093110
15,0,37,0.927569,344,29.563599
16,0,17,0.922931,361,49.487097
17,1,40,0.918316,401,33.832463
18,0,8,0.913725,409,30.659764
19,0,60,0.909156,469,32.030700
20,0,15,0.904610,484,22.114298
21,0,23,0.900087,507,25.130241
22,0,40,0.895587,547,28.465412
23,0,23,0.891109,570,17.464200
24,0,18,0.886654,588,29.225330
25,2,73,0.882220,661,21.989221
26,1,77,0.877809,738,20.967731
27,0,36,0.873420,774,26.803341
28,1,34,0.869053,808,20.835192
29,0,5,0.864708,813,23.842760
30,0,9,0.860384,822,9.467057
31,0,51,0.856082,873,17.922815
32,0,9,0.851802,882,15.579935
33,1,36,0.847543,918,15.246841
34,0,11,0.843305,929,12.577893
35,0,16,0.839089,945,9.206467
36,0,21,0.834893,966,17.671432
37,0,41,0.830719,1007,16.144529
38,0,25,0.826565,1032,17.979817
39,0,16,0.822432,1048,8.588634
40,0,32,0.818320,1080,10.258498
41,0,23,0.814229,1103,13.878183
42,1,60,0.810157,1163,11.809881
43,0,10,0.806107,1173,22.331747
44,0,112,0.802076,1285,12.972707
45,1,60,0.798066,1345,9.377664
46,0,119,0.794075,1464,9.404670
47,3,86,0.790105,1550,8.049583
48,0,43,0.786154,1593,8.896765
49,0,54,0.782224,1647,5.886821
50,1,210,0.778313,1857,5.357643
51,0,15,0.774421,1872,6.256289
52,0,18,0.770549,1890,3.386429
53,0,44,0.766696,1934,4.000740
54,0,29,0.762863,1963,3.182701
55,1,40,0.759048,2003,4.079213
56,0,24,0.755253,2027,4.354790
57,0,72,0.751477,2099,2.966329
58,0,89,0.747719,2188,3.165367
59,0,6,0.743981,2194,2.522578
60,1,86,0.740261,2280,2.667132
61,1,108,0.736560,2388,3.321361
62,0,41,0.732877,2429,1.848732
63,1,18,0.729212,2447,1.482710
