pokolenie,najlepsza_sprawność,średnia_sprawność,średni_wynik_najlepszego,średni_wynik_populacji,najlepszy_wynik_najlepszego,średnie_kroki_najlepszego,liczba_genomów
1,14328.4000,-2036.2080,1.40,0.22,7,109.60,100
2,216777.8400,4692.8536,8.40,0.59,21,299.40,100
3,216777.8400,5983.9064,8.40,0.67,21,299.40,100
4,216777.8400,6296.4280,8.40,0.72,21,299.40,100
5,216777.8400,10000.6268,8.40,1.02,21,299.40,100
6,216777.8400,6671.5444,8.40,0.82,21,299.40,100
7,216777.8400,11224.3640,8.40,1.09,21,299.40,100
8,747295.9600,22291.1296,24.80,1.36,28,608.40,100
9,747295.9600,19517.3644,24.80,1.30,28,608.40,100
10,747295.9600,24885.0892,24.80,1.62,28,608.40,100
11,747295.9600,32059.7136,24.80,1.90,28,608.40,100
12,747295.9600,35376.4396,24.80,2.04,28,608.40,100
13,747295.9600,36053.6704,24.80,2.05,28,608.40,100
14,747295.9600,37843.0416,24.80,1.96,28,608.40,100
15,747299.9600,65360.1168,24.80,2.87,28,609.60,100
16,747299.9600,53202.7272,24.80,2.67,28,609.60,100
17,747299.9600,50842.6192,24.80,2.70,28,609.60,100
18,747299.9600,87911.9352,24.80,3.77,28,609.60,100
19,747299.9600,168422.9868,24.80,6.64,28,609.60,100
20,747300.3600,224978.5748,24.80,8.50,28,612.80,100
21,747300.3600,312634.3760,24.80,11.26,28,612.80,100
22,747300.3600,300905.5248,24.80,10.91,28,612.80,100
23,747305.5600,323017.3552,24.80,11.49,28,612.40,100
24,747305.5600,288387.7732,24.80,10.25,28,612.40,100
25,747305.5600,269137.4060,24.80,9.82,28,612.40,100
26,768188.0400,355822.4648,25.20,12.48,28,611.40,100
27,794119.5600,330605.4812,25.60,11.65,30,631.00,100
28,794119.5600,426624.8944,25.60,14.77,30,631.00,100
29,794119.5600,382881.3688,25.60,13.13,30,631.00,100
30,794119.5600,326964.1172,25.60,11.60,30,631.00,100
31,794119.5600,481027.1372,25.60,16.42,30,631.00,100
32,794119.5600,407404.6700,25.60,13.93,30,631.00,100
33,794119.5600,445384.8992,25.60,15.29,30,631.00,100
34,794119.5600,405219.0968,25.60,14.15,30,631.00,100
35,794119.5600,372743.3432,25.60,13.05,30,631.00,100
36,794119.5600,328273.2456,25.60,11.50,30,631.00,100
37,794119.5600,346347.5264,25.60,12.01,30,631.00,100
38,794119.5600,343603.5452,25.60,12.03,30,631.00,100
39,794119.5600,374060.8684,25.60,12.94,30,631.00,100
40,794119.5600,323650.6768,25.60,11.32,30,631.00,100
41,794119.5600,350750.0292,25.60,12.08,30,631.00,100
42,794119.5600,382450.4988,25.60,13.13,30,631.00,100
43,794119.5600,408084.1440,25.60,14.20,30,631.00,100
44,794119.5600,384525.5948,25.60,13.31,30,631.00,100
45,794119.5600,405425.0936,25.60,13.76,30,631.00,100
46,795790.0400,345410.5588,25.60,11.91,29,626.60,100
47,795790.0400,354646.7508,25.60,12.08,29,626.60,100
48,795790.0400,361023.7812,25.60,12.25,29,626.60,100
49,795790.0400,445831.9072,25.60,15.11,29,626.60,100
50,795790.0400,354318.3740,25.60,12.09,29,626.60,100
51,795790.0400,385144.9948,25.60,13.07,29,626.60,100
52,795790.0400,466312.2300,25.60,15.78,29,626.60,100
53,795790.0400,414471.5960,25.60,14.07,29,626.60,100
54,795790.0400,508833.4096,25.60,17.32,29,626.60,100
55,795790.0400,432119.0312,25.60,14.76,29,626.60,100
56,795790.0400,374554.8616,25.60,12.84,29,626.60,100
57,795790.0400,430545.2384,25.60,14.71,29,626.60,100
58,795790.0400,347386.4932,25.60,11.81,29,626.60,100
59,795790.0400,410684.9272,25.60,14.00,29,626.60,100
60,2000955.6000,403454.8984,41.80,13.61,44,1000.00,100
61,2000955.6000,413685.1980,41.80,13.95,44,1000.00,100
62,2000955.6000,376638.3940,41.80,12.67,44,1000.00,100
63,2000955.6000,422651.9088,41.80,13.98,44,1000.00,100
64,2000955.6000,389021.6364,41.80,12.97,44,1000.00,100
65,2000955.6000,476808.8332,41.80,15.80,44,1000.00,100
66,2000955.6000,449994.0332,41.80,15.02,44,1000.00,100
67,2000955.6000,430207.7932,41.80,14.23,44,1000.00,100
68,2000955.6000,349099.9016,41.80,11.64,44,1000.00,100
69,2000955.6000,309251.3928,41.80,10.25,44,1000.00,100
70,2000955.6000,388351.4744,41.80,12.90,44,1000.00,100
71,2000955.6000,454170.9864,41.80,14.96,44,1000.00,100
72,2000955.6000,431201.8720,41.80,13.90,44,1000.00,100
73,2000955.6000,495555.4572,41.80,16.32,44,1000.00,100
74,2000955.6000,494504.4196,41.80,15.94,44,1000.00,100
75,2000955.6000,527169.8948,41.80,17.08,44,1000.00,100
76,2000955.6000,428949.2068,41.80,14.14,44,1000.00,100
77,2000955.6000,436924.9608,41.80,14.32,44,1000.00,100
78,2000955.6000,518003.1700,41.80,17.02,44,1000.00,100
79,2000955.6000,514950.0164,41.80,16.97,44,1000.00,100
80,2000955.6000,500325.2720,41.80,16.54,44,1000.00,100
