epizod,wynik,kroki,epsilon,rozmiar_tablicy_q
1,0,20,0.999500,17
2,0,9,0.999000,22
3,0,11,0.998501,32
4,0,10,0.998001,38
5,0,24,0.997502,47
6,1,24,0.997004,65
7,0,26,0.996505,83
8,1,33,0.996007,103
9,1,11,0.995509,107
10,0,32,0.995011,122
11,0,8,0.994514,127
12,0,34,0.994016,142
13,0,6,0.993519,142
14,0,9,0.993023,142
15,0,9,0.992526,146
16,0,7,0.992030,150
17,0,6,0.991534,151
18,0,12,0.991038,160
19,0,12,0.990543,170
20,0,15,0.990047,174
21,0,14,0.989552,180
22,0,14,0.989058,185
23,0,11,0.988563,191
24,1,60,0.988069,223
25,0,14,0.987575,228
26,2,33,0.987081,246
27,0,12,0.986587,253
28,0,7,0.986094,254
29,0,16,0.985601,262
30,0,9,0.985108,263
31,0,12,0.984616,265
32,0,9,0.984123,267
33,0,10,0.983631,268
34,1,14,0.983140,273
35,0,18,0.982648,274
36,0,9,0.982157,276
37,0,26,0.981666,278
38,0,9,0.981175,279
39,1,12,0.980684,280
40,0,9,0.980194,280
41,0,18,0.979704,280
42,1,21,0.979214,294
43,0,27,0.978724,302
44,0,9,0.978235,305
45,0,19,0.977746,312
46,1,54,0.977257,329
47,1,32,0.976768,341
48,0,20,0.976280,344
49,1,20,0.975792,348
50,0,7,0.975304,349
51,0,16,0.974816,354
52,0,15,0.974329,356
53,0,21,0.973842,356
54,0,7,0.973355,356
55,0,7,0.972868,356
56,0,100,0.972382,362
57,0,25,0.971895,365
58,0,16,0.971409,368
59,0,14,0.970924,373
60,0,12,0.970438,375
61,1,12,0.969953,380
62,0,8,0.969468,381
63,0,8,0.968983,381
64,0,5,0.968499,382
65,1,54,0.968015,402
66,0,18,0.967531,403
67,0,20,0.967047,405
68,0,8,0.966563,405
69,0,7,0.966080,406
70,0,10,0.965597,406
71,0,8,0.965114,406
72,0,8,0.964632,409
73,0,40,0.964149,414
74,0,19,0.963667,414
75,0,25,0.963185,416
76,0,17,0.962704,417
77,1,42,0.962222,431
78,0,50,0.961741,432
79,0,7,0.961260,434
80,0,39,0.960780,438
81,0,20,0.960299,439
82,0,9,0.959819,440
83,0,13,0.959339,441
84,0,10,0.958860,441
85,0,6,0.958380,441
86,0,29,0.957901,442
87,0,13,0.957422,445
88,0,41,0.956943,449
89,0,6,0.956465,449
90,0,18,0.955987,449
91,0,21,0.955509,452
92,0,8,0.955031,452
93,0,10,0.954553,452
94,0,7,0.954076,452
95,0,6,0.953599,453
96,0,8,0.953122,453
97,0,21,0.952646,455
98,0,20,0.952169,457
99,0,21,0.951693,460
100,0,12,0.951218,462
101,0,14,0.950742,462
102,0,27,0.950267,463
103,0,54,0.949791,470
104,0,37,0.949317,474
105,0,10,0.948842,474
106,1,17,0.948367,474
107,2,26,0.947893,484
108,0,17,0.947419,490
109,0,30,0.946946,494
110,0,13,0.946472,496
111,0,10,0.945999,497
112,1,50,0.945526,501
113,0,47,0.945053,502
114,1,30,0.944581,509
115,0,17,0.944108,509
116,1,81,0.943636,512
117,0,13,0.943164,513
118,0,22,0.942693,513
119,0,29,0.942222,513
120,0,9,0.941750,514
121,0,31,0.941280,517
122,0,22,0.940809,518
123,0,29,0.940338,523
124,0,12,0.939868,523
125,0,49,0.939398,524
126,0,11,0.938929,525
127,0,6,0.938459,525
128,0,8,0.937990,525
129,0,12,0.937521,528
130,0,12,0.937052,528
131,0,7,0.936584,528
132,0,12,0.936115,528
133,1,8,0.935647,531
134,0,19,0.935180,531
135,0,10,0.934712,533
136,0,11,0.934245,534
137,0,11,0.933777,534
138,0,11,0.933311,536
139,0,14,0.932844,537
140,1,52,0.932377,548
141,1,37,0.931911,556
142,0,6,0.931445,556
143,0,29,0.930980,558
144,1,19,0.930514,562
145,1,26,0.930049,565
146,0,10,0.929584,565
147,0,25,0.929119,568
148,1,11,0.928655,569
149,0,11,0.928190,569
150,0,12,0.927726,569
151,0,50,0.927262,572
152,0,6,0.926799,573
153,0,48,0.926335,575
154,1,19,0.925872,575
155,0,38,0.925409,575
156,1,11,0.924946,577
157,1,41,0.924484,586
158,1,11,0.924022,586
159,0,30,0.923560,589
160,0,8,0.923098,589
161,0,10,0.922636,590
162,0,13,0.922175,590
163,0,10,0.921714,591
164,0,26,0.921253,592
165,0,9,0.920792,592
166,0,42,0.920332,592
167,1,17,0.919872,595
168,0,27,0.919412,595
169,0,22,0.918952,598
170,0,45,0.918493,601
171,0,17,0.918034,601
172,0,7,0.917574,602
173,0,24,0.917116,608
174,0,35,0.916657,611
175,0,7,0.916199,611
176,0,8,0.915741,612
177,0,12,0.915283,612
178,0,38,0.914825,614
179,0,36,0.914368,614
180,0,17,0.913911,614
181,0,22,0.913454,614
182,0,17,0.912997,614
183,0,35,0.912540,617
184,0,10,0.912084,617
185,1,18,0.911628,621
186,0,30,0.911172,623
187,0,37,0.910717,623
188,2,28,0.910261,630
189,1,22,0.909806,633
190,0,26,0.909351,633
191,0,9,0.908897,633
192,0,20,0.908442,636
193,1,41,0.907988,642
194,1,15,0.907534,644
195,0,16,0.907080,647
196,1,16,0.906627,647
197,0,18,0.906173,649
