epizod,wynik,kroki,epsilon,rozmiar_pamięci,średnia_strata
1,2,29,0.995000,29,0.000000
2,0,16,0.990025,45,0.000000
3,0,6,0.985075,51,0.000000
4,0,20,0.980150,71,37.593522
5,0,16,0.975249,87,51.463527
6,0,20,0.970373,107,54.447747
7,0,12,0.965521,119,42.379630
8,0,15,0.960693,134,34.062778
9,0,12,0.955890,146,46.143592
10,0,16,0.951110,162,61.485393
11,0,24,0.946355,186,66.262459
12,0,27,0.941623,213,47.017913
13,0,10,0.936915,223,39.901039
14,0,25,0.932230,248,42.634262
15,0,67,0.927569,315,43.600771
16,0,7,0.922931,322,3.408531
17,0,33,0.918316,355,41.379301
18,0,18,0.913725,373,38.389196
19,0,13,0.909156,386,26.225719
20,0,10,0.904610,396,53.972950
21,0,15,0.900087,411,33.908921
22,0,32,0.895587,443,33.329744
23,0,18,0.891109,461,19.620336
24,0,20,0.886654,481,36.437175
25,1,83,0.882220,564,28.116241
26,0,26,0.877809,590,30.233046
27,0,13,0.873420,603,24.412106
28,0,20,0.869053,623,24.507361
29,0,37,0.864708,660,18.770303
30,0,23,0.860384,683,14.615028
31,0,7,0.856082,690,21.328939
32,2,32,0.851802,722,18.734457
33,0,7,0.847543,729,20.831169
34,0,10,0.843305,739,12.129508
35,0,9,0.839089,748,28.377430
36,0,15,0.834893,763,22.628501
37,1,26,0.830719,789,22.036639
38,0,9,0.826565,798,14.043522
39,0,88,0.822432,886,21.184020
40,0,60,0.818320,946,15.891513
41,0,46,0.814229,992,11.423553
42,1,36,0.810157,1028,19.006966
43,0,26,0.806107,1054,14.637466
44,1,11,0.802076,1065,16.902293
45,0,18,0.798066,1083,13.168647
46,0,10,0.794075,1093,10.481207
47,1,38,0.790105,1131,20.356964
48,0,9,0.786154,1140,6.807826
49,0,12,0.782224,1152,19.017909
50,0,29,0.778313,1181,10.427158
51,0,42,0.774421,1223,14.532208
52,0,23,0.770549,1246,11.764210
53,0,18,0.766696,1264,23.261493
54,1,128,0.762863,1392,13.314520
55,1,13,0.759048,1405,12.897950
56,0,23,0.755253,1428,15.580207
57,0,13,0.751477,1441,11.862307
58,0,29,0.747719,1470,10.902220
59,0,18,0.743981,1488,15.763481
60,1,25,0.740261,1513,9.708951
61,0,17,0.736560,1530,6.911711
62,0,43,0.732877,1573,12.088593
63,0,12,0.729212,1585,5.211921
64,1,98,0.725566,1683,8.570692
65,0,32,0.721939,1715,8.295579
66,0,24,0.718329,1739,3.959628
67,0,11,0.714737,1750,6.717822
68,0,17,0.711164,1767,7.757185
69,0,146,0.707608,1913,7.959159
70,0,98,0.704070,2011,4.851620
71,1,49,0.700549,2060,3.748263
72,1,44,0.697047,2104,4.282955
73,0,27,0.693561,2131,4.604449
74,0,29,0.690094,2160,5.447560
75,1,13,0.686643,2173,3.124445
76,0,22,0.683210,2195,5.071489
77,1,52,0.679794,2247,3.577074
78,0,65,0.676395,2312,3.472291
79,0,8,0.673013,2320,3.048011
80,0,10,0.669648,2330,6.313149
81,0,34,0.666300,2364,4.539792
82,0,18,0.662968,2382,4.052548
83,0,31,0.659653,2413,3.211748
84,0,10,0.656355,2423,4.719914
85,1,36,0.653073,2459,2.824736
86,0,18,0.649808,2477,2.976216
87,1,27,0.646559,2504,2.504356
88,0,37,0.643326,2541,2.119535
89,2,63,0.640109,2604,2.161565
90,1,37,0.636909,2641,3.414428
91,0,43,0.633724,2684,2.165877
92,0,13,0.630556,2697,3.149545
93,0,10,0.627403,2707,2.792612
94,0,49,0.624266,2756,2.386819
95,0,14,0.621145,2770,2.475153
96,0,20,0.618039,2790,2.126172
97,0,17,0.614949,2807,1.807864
98,0,8,0.611874,2815,1.852140
99,0,26,0.608815,2841,2.524252
100,0,15,0.605770,2856,1.263840
101,0,33,0.602742,2889,1.974038
102,0,18,0.599728,2907,0.853273
103,1,89,0.596729,2996,1.796584
104,3,83,0.593746,3079,1.682054
105,0,83,0.590777,3162,1.294653
106,0,30,0.587823,3192,0.693211
107,0,11,0.584884,3203,1.377232
108,0,13,0.581959,3216,1.297019
109,0,85,0.579050,3301,1.680524
110,1,27,0.576154,3328,2.199741
111,1,18,0.573274,3346,1.010846
112,0,109,0.570407,3455,1.717211
113,1,64,0.567555,3519,1.332574
114,0,12,0.564717,3531,1.087012
115,0,28,0.561894,3559,1.156711
116,0,52,0.559084,3611,1.560932
117,0,36,0.556289,3647,1.006527
118,0,14,0.553508,3661,2.038982
119,0,28,0.550740,3689,0.739405
120,0,13,0.547986,3702,0.772722
121,0,43,0.545246,3745,0.844957
122,0,30,0.542520,3775,0.920269
123,0,47,0.539808,3822,1.517007
124,0,15,0.537108,3837,0.388946
125,1,29,0.534423,3866,0.663039
126,0,38,0.531751,3904,0.548885
127,1,102,0.529092,4006,1.502686
128,0,63,0.526447,4069,1.223040
129,0,8,0.523814,4077,2.212126
130,0,47,0.521195,4124,1.333338
131,1,55,0.518589,4179,1.460420
132,0,43,0.515996,4222,1.759489
133,0,58,0.513416,4280,1.486759
134,0,5,0.510849,4285,2.162388
135,2,122,0.508295,4407,1.003512
136,0,35,0.505754,4442,1.002084
137,2,145,0.503225,4587,0.807899
138,1,133,0.500709,4720,0.975424
139,0,7,0.498205,4727,0.487813
140,3,116,0.495714,4843,0.979834
141,1,46,0.493236,4889,0.745173
142,2,43,0.490769,4932,0.569209
143,0,35,0.488316,4967,1.403457
144,0,42,0.485874,5009,1.018077
145,0,65,0.483445,5074,0.838805
146,0,30,0.481027,5104,1.306051
147,0,164,0.478622,5268,1.184395
148,0,38,0.476229,5306,1.352008
149,0,13,0.473848,5319,0.229756
150,0,17,0.471479,5336,0.720781
151,3,116,0.469121,5452,1.112225
152,1,15,0.466776,5467,1.477588
153,2,95,0.464442,5562,0.811083
154,0,34,0.462120,5596,0.990615
