pokolenie,najlepsza_sprawność,średnia_sprawność,średni_wynik_najlepszego,średni_wynik_populacji,najlepszy_wynik_najlepszego,średnie_kroki_najlepszego,liczba_genomów
1,90341.6000,-937.4420,5.20,0.28,14,185.80,100
2,90341.6000,479.5092,5.20,0.37,14,185.80,100
3,114402.1200,2241.5772,5.00,0.47,21,175.40,100
4,140517.2000,7010.8888,8.20,0.80,16,267.00,100
5,140517.2000,4924.1664,8.20,0.73,16,267.00,100
6,240449.6000,7840.8436,10.60,0.90,24,249.40,100
7,240449.6000,7417.6140,10.60,0.92,24,249.40,100
8,557766.2800,20280.3740,21.20,1.44,23,554.40,100
9,557766.2800,15625.2272,21.20,1.29,23,554.40,100
10,557766.2800,17838.6260,21.20,1.43,23,554.40,100
11,557766.2800,17962.8628,21.20,1.48,23,554.40,100
12,557766.2800,24272.2968,21.20,1.60,23,554.40,100
13,557766.2800,19281.4416,21.20,1.40,23,554.40,100
14,557766.2800,26536.4000,21.20,1.83,23,554.40,100
15,619533.8800,25162.3344,22.40,1.71,25,511.60,100
16,701295.5600,45766.5100,24.00,2.54,26,458.20,100
17,701295.5600,53415.1980,24.00,2.76,26,458.20,100
18,701295.5600,52548.9380,24.00,2.66,26,458.20,100
19,713148.4400,62957.3648,24.00,2.98,30,540.40,100
20,850604.3200,76294.6120,25.80,3.35,39,626.80,100
21,850604.3200,102245.6108,25.80,4.48,39,626.80,100
22,850604.3200,112690.1612,25.80,4.90,39,626.80,100
23,854397.9600,116208.0932,26.60,4.73,31,455.20,100
24,854397.9600,142540.3092,26.60,5.71,31,455.20,100
25,854397.9600,119356.5140,26.60,4.74,31,455.20,100
26,854397.9600,143150.4084,26.60,5.75,31,455.20,100
27,958292.3200,168827.2340,28.40,6.48,29,645.00,100
28,1339627.4800,197282.6180,33.40,7.48,43,650.60,100
29,1339627.4800,251602.9320,33.40,9.11,43,650.60,100
30,1339627.4800,322642.6704,33.40,11.47,43,650.60,100
31,1339627.4800,355622.1008,33.40,12.53,43,650.60,100
32,1339627.4800,370453.1660,33.40,13.00,43,650.60,100
33,1339627.4800,285272.4840,33.40,9.94,43,650.60,100
34,1339627.4800,317693.8324,33.40,11.09,43,650.60,100
35,1339627.4800,414879.7216,33.40,13.81,43,650.60,100
36,1339627.4800,464663.5408,33.40,15.31,43,650.60,100
37,1339627.4800,398339.1140,33.40,13.17,43,650.60,100
38,1339627.4800,359670.0852,33.40,11.83,43,650.60,100
39,1339627.4800,326962.0076,33.40,10.82,43,650.60,100
40,1339627.4800,402340.1904,33.40,13.37,43,650.60,100
41,1339627.4800,386790.3880,33.40,12.82,43,650.60,100
42,1339627.4800,281316.4812,33.40,9.27,43,650.60,100
43,1339627.4800,345881.2392,33.40,11.37,43,650.60,100
44,1339627.4800,428460.4256,33.40,13.78,43,650.60,100
45,1339627.4800,400458.0828,33.40,13.08,43,650.60,100
46,1339627.4800,429522.6536,33.40,13.78,43,650.60,100
47,1339627.4800,403748.2868,33.40,12.87,43,650.60,100
48,1503218.2800,504265.3340,35.20,15.98,47,768.80,100
49,1503218.2800,491766.8576,35.20,15.93,47,768.80,100
50,1503218.2800,403897.7968,35.20,12.96,47,768.80,100
51,1503218.2800,408699.0244,35.20,13.07,47,768.80,100
52,1561223.3200,402717.5904,36.40,12.78,43,780.60,100
53,1561223.3200,388123.5524,36.40,12.09,43,780.60,100
54,1561223.3200,432109.4340,36.40,13.77,43,780.60,100
55,1561223.3200,379646.7868,36.40,12.14,43,780.60,100
56,1722506.3200,370458.9916,36.40,11.74,49,799.20,100
57,2240371.8400,360989.0236,44.20,11.24,49,1000.00,100
58,2240371.8400,403104.8716,44.20,12.78,49,1000.00,100
59,2240371.8400,413076.3188,44.20,12.62,49,1000.00,100
60,2240371.8400,433916.1088,44.20,13.71,49,1000.00,100
61,2240371.8400,426372.6892,44.20,13.27,49,1000.00,100
62,2240371.8400,473658.4876,44.20,14.69,49,1000.00,100
63,2240371.8400,550892.2668,44.20,16.99,49,1000.00,100
64,2240371.8400,486483.8932,44.20,14.90,49,1000.00,100
65,2240371.8400,542956.3156,44.20,16.44,49,1000.00,100
67,2240371.8400,439424.9384,44.20,13.75,49,1000.00,100
68,2240371.8400,504411.7508,44.20,15.58,49,1000.00,100
69,2388569.2800,557727.5944,45.80,17.01,49,1000.00,100
70,2388569.2800,616234.4200,45.80,18.72,49,1000.00,100
71,2388569.2800,440226.6256,45.80,13.60,49,1000.00,100
72,2388569.2800,507163.4700,45.80,15.57,49,1000.00,100
73,2388569.2800,435712.8908,45.80,13.66,49,1000.00,100
74,2388569.2800,502718.9736,45.80,15.53,49,1000.00,100
75,2388569.2800,517176.0712,45.80,15.65,49,1000.00,100
76,2388569.2800,410569.5232,45.80,12.82,49,1000.00,100
77,2388569.2800,414648.3064,45.80,12.55,49,1000.00,100
78,2388569.2800,420478.5300,45.80,13.03,49,1000.00,100
79,2388569.2800,482079.6068,45.80,14.99,49,1000.00,100
80,2388569.2800,510802.6728,45.80,15.94,49,1000.00,100
